datetime,Unnamed: 0,sales,week,soldout,name,kcal,event,payday,weather,precipitation,temperature,month,days,period,temperature_diff,temperature_rolling_mean,temperature_pct_change
2014-01-09,30,129,木,1,鶏チリソース,435.0,,0.0,曇,0.0,10.9,1,9,上旬,1.0999999999999996,9.333333333333334,0.11224489795918369
2014-01-10,31,87,金,0,手作りロースカツ,440.0,,1.0,快晴,0.0,5.1,1,10,上旬,-5.800000000000001,8.6,-0.5321100917431193
2014-01-14,32,129,火,1,鶏の照り焼きマスタード,376.0,,0.0,晴れ,0.0,5.8,1,14,中旬,0.7000000000000002,7.266666666666667,0.13725490196078427
2014-01-15,33,134,水,0,さんま辛味焼,450.0,,0.0,曇,0.0,2.9,1,15,中旬,-2.9,4.6,-0.5
2014-01-16,34,107,木,0,カレイ唐揚げ野菜あんかけ,415.0,,0.0,快晴,0.0,7.0,1,16,中旬,4.1,5.2333333333333325,1.4137931034482758
2014-01-17,35,85,金,1,回鍋肉,430.0,ママの会,0.0,快晴,0.0,7.8,1,17,中旬,0.7999999999999998,5.899999999999999,0.11428571428571432
2014-01-20,36,126,月,1,ジューシーメンチカツ,375.0,,0.0,晴れ,0.0,6.5,1,20,中旬,-1.2999999999999998,7.099999999999999,-0.16666666666666663
2014-01-21,37,129,火,1,サバ焼味噌掛け,447.0,,0.0,快晴,0.0,10.4,1,21,下旬,3.9000000000000004,8.233333333333333,0.6000000000000001
2014-01-22,38,126,水,1,手作りひれかつとカレー,426.0,,0.0,快晴,0.0,7.4,1,22,下旬,-3.0,8.099999999999998,-0.28846153846153844
2014-01-23,39,107,木,0,酢豚,400.0,,0.0,快晴,0.0,8.5,1,23,下旬,1.0999999999999996,8.766666666666666,0.14864864864864868
2014-01-24,40,92,金,1,鶏のレモンペッパー焼orカレー,418.0,,0.0,快晴,0.0,10.1,1,24,下旬,1.5999999999999996,8.666666666666666,0.18823529411764706
2014-01-27,41,126,月,1,チンジャオロース,415.0,,0.0,快晴,0.0,5.1,1,27,下旬,-5.0,7.900000000000001,-0.49504950495049505
2014-01-28,42,120,火,0,海老フライタルタル,445.0,,0.0,快晴,0.0,12.6,1,28,下旬,7.5,9.266666666666667,1.4705882352941178
2014-01-29,43,121,水,1,チーズ入りメンチカツ,450.0,,0.0,快晴,0.0,10.3,1,29,下旬,-2.299999999999999,9.333333333333336,-0.18253968253968245
2014-01-30,44,105,木,1,鶏の唐揚げ,448.0,,0.0,曇,0.0,15.3,1,30,下旬,5.0,12.733333333333336,0.4854368932038835
2014-01-31,45,92,金,1,メダイ照り焼,460.0,,0.0,快晴,0.0,14.1,1,31,下旬,-1.200000000000001,13.233333333333336,-0.07843137254901966
2014-02-03,46,139,月,1,ハンバーグカレーソース,445.0,,0.0,晴れ,0.0,15.9,2,3,上旬,1.8000000000000007,15.100000000000003,0.12765957446808507
2014-02-04,47,121,火,1,さわら焼味噌掛け,430.0,,0.0,雨,0.0,3.8,2,4,上旬,-12.100000000000001,11.266666666666671,-0.7610062893081762
2014-02-05,48,126,水,1,鶏のピリ辛焼き,420.0,,0.0,快晴,0.0,3.0,2,5,上旬,-0.7999999999999998,7.56666666666667,-0.21052631578947367
2014-02-06,49,111,木,1,手作りロースカツ,435.0,,0.0,曇,0.0,4.2,2,6,上旬,1.2000000000000002,3.6666666666666696,0.40000000000000013
2014-02-07,50,91,金,1,ホタテクリ―ムシチュー,425.0,,0.0,晴れ,0.0,5.5,2,7,上旬,1.2999999999999998,4.233333333333335,0.30952380952380953
2014-02-10,51,137,月,0,鶏の唐揚げおろしソース,423.0,,1.0,曇,0.0,7.8,2,10,上旬,2.3,5.833333333333336,0.4181818181818182
2014-02-12,52,111,水,0,ますのマスタードソース,415.0,,0.0,曇,0.0,6.3,2,12,中旬,-1.5,6.533333333333336,-0.1923076923076923
2014-02-13,53,84,木,0,回鍋肉,438.0,,0.0,曇,0.0,6.4,2,13,中旬,0.10000000000000053,6.833333333333336,0.01587301587301604
2014-02-14,54,86,金,1,ロース甘味噌焼き,432.0,,0.0,雪,0.5,1.2,2,14,中旬,-5.2,4.6333333333333355,-0.8125
2014-02-17,55,137,月,1,チンジャオロース,416.0,,0.0,晴れ,0.0,11.6,2,17,中旬,10.4,6.400000000000002,8.666666666666666
2014-02-18,56,99,火,0,海老フライとホタテ串カツ,426.0,,0.0,晴れ,0.0,6.8,2,18,中旬,-4.8,6.533333333333336,-0.4137931034482759
